date,region,product,salesperson,units_sold,discount_percent,unit_price,revenue
2024-02-20,East,Phone,Arjun,48,0,499,23952.0
2024-02-20,North,Laptop,Sneha,19,5,999,18031.95
2024-02-21,North,Smartwatch,Vikram,10,15,199,1691.5
2024-02-21,North,Smartwatch,Priya,34,15,199,5751.099999999999
2024-02-22,West,Tablet,Sneha,23,20,299,5501.6
2024-02-22,South,Phone,Raju,50,15,499,21207.5
2024-02-22,East,Headphones,Raju,29,5,149,4104.95
2024-02-23,West,Headphones,Vikram,37,0,149,5513.0
2024-02-24,East,Headphones,Sneha,33,20,149,3933.6000000000004
2024-02-24,North,Smartwatch,Vikram,47,0,199,9353.0
2024-02-25,West,Laptop,Raju,35,15,999,29720.25
2024-02-25,South,Headphones,Sneha,27,10,149,3620.7000000000003
2024-02-26,East,Laptop,Arjun,21,15,999,17832.149999999998
2024-02-27,East,Laptop,Arjun,26,20,999,20779.2
2024-02-27,North,Phone,Raju,14,0,499,6986.0
2024-02-27,West,Smartwatch,Vikram,17,0,199,3383.0
2024-02-27,West,Tablet,Sneha,25,20,299,5980.0
2024-02-28,South,Phone,Priya,14,10,499,6287.400000000001
2024-02-29,North,Phone,Priya,36,20,499,14371.2
2024-02-29,North,Headphones,Sneha,3,5,149,424.65
2024-03-02,South,Laptop,Sneha,20,5,999,18981.0
2024-03-02,North,Headphones,Priya,18,15,149,2279.7
2024-03-04,South,Laptop,Sneha,24,5,999,22777.2
2024-03-05,East,Phone,Sneha,37,20,499,14770.400000000001
2024-03-06,West,Phone,Priya,44,5,499,20858.2
2024-03-06,South,Smartwatch,Raju,35,0,199,6965.0
2024-03-07,South,Tablet,Raju,30,15,299,7624.5
2024-03-08,South,Smartwatch,Vikram,45,5,199,8507.25
2024-03-08,West,Laptop,Priya,20,20,999,15984.0
2024-03-08,North,Phone,Arjun,36,0,499,17964.0
2024-03-09,North,Headphones,Vikram,8,20,149,953.6
2024-03-11,East,Phone,Priya,45,0,499,22455.0
2024-03-12,East,Tablet,Raju,48,0,299,14352.0
2024-03-12,East,Laptop,Raju,38,0,999,37962.0
2024-03-12,North,Smartwatch,Arjun,34,0,199,6766.0
2024-03-14,West,Tablet,Raju,31,15,299,7878.65
2024-03-16,West,Phone,Sneha,45,15,499,19086.75
2024-03-17,West,Laptop,Raju,14,5,999,13286.699999999999
2024-03-19,West,Headphones,Raju,13,0,149,1937.0
2024-03-19,West,Phone,Raju,27,10,499,12125.7
2024-03-20,East,Phone,Raju,37,20,499,14770.400000000001
2024-03-20,East,Smartwatch,Vikram,5,0,199,995.0
2024-03-20,West,Phone,Sneha,24,20,499,9580.800000000001
2024-03-20,North,Tablet,Raju,49,5,299,13918.449999999999
2024-03-21,West,Phone,Raju,30,0,499,14970.0
2024-03-21,South,Laptop,Priya,31,10,999,27872.100000000002
2024-03-21,West,Headphones,Vikram,14,10,149,1877.4
2024-03-22,West,Phone,Vikram,8,10,499,3592.8
2024-03-22,West,Laptop,Raju,27,5,999,25624.35
2024-03-22,South,Headphones,Raju,36,20,149,4291.2
2024-03-23,South,Phone,Sneha,18,20,499,7185.6
2024-03-23,West,Headphones,Vikram,36,15,149,4559.4
2024-03-24,East,Phone,Priya,29,10,499,13023.9
2024-03-24,East,Phone,Arjun,37,5,499,17539.85
2024-03-24,North,Phone,Vikram,21,15,499,8907.15
2024-03-25,North,Laptop,Raju,23,20,999,18381.600000000002
2024-03-25,West,Tablet,Raju,47,10,299,12647.7
2024-03-26,West,Smartwatch,Arjun,33,0,199,6567.0
2024-03-28,West,Headphones,Sneha,35,5,149,4954.25
2024-03-31,South,Headphones,Arjun,25,0,149,3725.0
2024-04-01,North,Laptop,Vikram,44,5,999,41758.2
2024-04-01,South,Smartwatch,Arjun,44,10,199,7880.400000000001
2024-04-03,East,Phone,Arjun,3,15,499,1272.45
2024-04-05,South,Tablet,Sneha,17,15,299,4320.55
2024-04-07,West,Smartwatch,Vikram,13,15,199,2198.95
2024-04-07,East,Tablet,Vikram,26,20,299,6219.200000000001
2024-04-07,East,Smartwatch,Arjun,13,5,199,2457.65
2024-04-08,North,Headphones,Arjun,26,5,149,3680.2999999999997
2024-04-08,West,Laptop,Vikram,35,0,999,34965.0
2024-04-08,East,Laptop,Priya,3,20,999,2397.6
2024-04-11,South,Laptop,Raju,31,10,999,27872.100000000002
2024-04-11,East,Smartwatch,Arjun,17,10,199,3044.7000000000003
2024-04-12,West,Laptop,Sneha,23,15,999,19530.45
2024-04-12,West,Smartwatch,Arjun,15,15,199,2537.25
2024-04-14,North,Smartwatch,Raju,11,15,199,1860.6499999999999
2024-04-14,North,Laptop,Priya,29,0,999,28971.0
2024-04-17,West,Laptop,Arjun,21,15,999,17832.149999999998
2024-04-17,North,Tablet,Priya,27,20,299,6458.400000000001
2024-04-17,West,Tablet,Vikram,11,20,299,2631.2000000000003
2024-04-18,South,Smartwatch,Sneha,17,10,199,3044.7000000000003
2024-04-18,West,Headphones,Sneha,38,20,149,4529.6
2024-04-18,East,Phone,Vikram,19,0,499,9481.0
2024-04-19,South,Tablet,Arjun,8,15,299,2033.2
2024-04-19,North,Headphones,Sneha,39,10,149,5229.900000000001
2024-04-19,West,Phone,Vikram,9,5,499,4266.45
2024-04-20,South,Phone,Priya,25,20,499,9980.0
2024-04-21,West,Laptop,Sneha,40,20,999,31968.0
2024-04-21,East,Headphones,Sneha,19,5,149,2689.45
2024-04-22,South,Tablet,Vikram,8,5,299,2272.4
2024-04-22,South,Laptop,Sneha,16,10,999,14385.6
2024-04-22,South,Smartwatch,Vikram,37,5,199,6994.849999999999
2024-04-22,East,Smartwatch,Vikram,24,20,199,3820.8
2024-04-23,North,Tablet,Raju,47,10,299,12647.7
2024-04-24,West,Tablet,Raju,30,0,299,8970.0
2024-04-24,East,Laptop,Priya,14,0,999,13986.0
2024-04-25,West,Tablet,Vikram,45,20,299,10764.0
2024-04-26,South,Laptop,Raju,20,10,999,17982.0
2024-04-26,West,Smartwatch,Sneha,9,15,199,1522.35
2024-04-27,West,Phone,Arjun,38,15,499,16117.699999999999
2024-04-27,North,Laptop,Priya,47,20,999,37562.4
2024-04-27,East,Headphones,Raju,15,5,149,2123.25
2024-04-29,South,Phone,Priya,31,5,499,14695.55
2024-04-29,West,Smartwatch,Vikram,35,20,199,5572.0
2024-04-30,East,Smartwatch,Arjun,18,20,199,2865.6000000000004
2024-05-01,West,Laptop,Arjun,31,10,999,27872.100000000002
2024-05-01,East,Smartwatch,Sneha,9,5,199,1701.4499999999998
2024-05-01,West,Laptop,Sneha,25,5,999,23726.25
2024-05-02,West,Phone,Priya,32,10,499,14371.2
2024-05-02,East,Phone,Arjun,33,10,499,14820.300000000001
2024-05-03,South,Phone,Arjun,31,10,499,13922.1
2024-05-04,West,Smartwatch,Arjun,31,15,199,5243.65
2024-05-05,South,Phone,Sneha,46,20,499,18363.2
2024-05-05,West,Tablet,Vikram,16,5,299,4544.8
2024-05-05,East,Tablet,Arjun,49,20,299,11720.800000000001
2024-05-06,East,Laptop,Vikram,47,5,999,44605.35
2024-05-06,West,Headphones,Vikram,41,15,149,5192.65
2024-05-06,East,Headphones,Raju,36,15,149,4559.4
2024-05-07,East,Phone,Arjun,50,20,499,19960.0
2024-05-07,West,Headphones,Vikram,12,20,149,1430.4
2024-05-07,West,Tablet,Priya,42,5,299,11930.099999999999
2024-05-07,North,Laptop,Sneha,37,10,999,33266.700000000004
2024-05-08,North,Tablet,Arjun,4,15,299,1016.6
2024-05-08,South,Smartwatch,Raju,32,10,199,5731.2
2024-05-13,North,Smartwatch,Arjun,20,10,199,3582.0
2024-05-13,West,Smartwatch,Raju,43,15,199,7273.45
2024-05-14,East,Phone,Priya,35,0,499,17465.0
2024-05-14,East,Phone,Raju,50,10,499,22455.0
2024-05-14,North,Smartwatch,Priya,4,20,199,636.8000000000001
2024-05-15,West,Laptop,Raju,46,0,999,45954.0
2024-05-15,North,Tablet,Vikram,8,20,299,1913.6000000000001
2024-05-15,West,Headphones,Arjun,14,5,149,1981.6999999999998
2024-05-15,West,Phone,Priya,4,5,499,1896.1999999999998
2024-05-15,West,Phone,Arjun,46,5,499,21806.3
2024-05-15,West,Tablet,Sneha,11,15,299,2795.65
2024-05-15,West,Laptop,Vikram,50,10,999,44955.0
2024-05-15,North,Tablet,Priya,27,20,299,6458.400000000001
2024-05-16,East,Headphones,Sneha,43,20,149,5125.6
2024-05-16,West,Tablet,Arjun,23,10,299,6189.3
2024-05-16,West,Laptop,Vikram,40,0,999,39960.0
2024-05-17,West,Phone,Sneha,39,20,499,15568.800000000001
2024-05-18,East,Smartwatch,Vikram,2,10,199,358.2
2024-05-19,North,Smartwatch,Raju,35,0,199,6965.0
2024-05-20,North,Phone,Sneha,30,5,499,14221.5
2024-05-21,West,Tablet,Priya,30,15,299,7624.5
2024-05-22,West,Laptop,Arjun,7,20,999,5594.400000000001
2024-05-22,West,Phone,Arjun,10,10,499,4491.0
2024-05-22,East,Tablet,Arjun,19,10,299,5112.900000000001
2024-05-22,West,Headphones,Raju,4,10,149,536.4
2024-05-22,West,Tablet,Priya,25,0,299,7475.0
2024-05-22,East,Laptop,Vikram,16,5,999,15184.8
2024-05-22,South,Headphones,Arjun,1,15,149,126.64999999999999
2024-05-24,West,Smartwatch,Vikram,10,15,199,1691.5
2024-05-25,West,Phone,Sneha,43,15,499,18238.45
2024-05-26,North,Smartwatch,Raju,1,15,199,169.15
2024-05-28,West,Headphones,Priya,46,20,149,5483.200000000001
2024-05-30,South,Tablet,Raju,49,20,299,11720.800000000001
2024-05-30,East,Laptop,Vikram,21,0,999,20979.0
2024-05-31,South,Tablet,Priya,12,15,299,3049.7999999999997
2024-06-01,South,Laptop,Raju,42,0,999,41958.0
2024-06-02,East,Headphones,Priya,41,15,149,5192.65
2024-06-02,West,Laptop,Arjun,24,15,999,20379.6
2024-06-03,West,Phone,Raju,49,10,499,22005.9
2024-06-05,North,Smartwatch,Priya,2,15,199,338.3
2024-06-06,East,Smartwatch,Vikram,5,10,199,895.5
2024-06-06,East,Smartwatch,Vikram,46,20,199,7323.200000000001
2024-06-08,South,Phone,Raju,29,20,499,11576.800000000001
2024-06-09,East,Laptop,Vikram,44,10,999,39560.4
2024-06-09,East,Smartwatch,Vikram,21,0,199,4179.0
2024-06-10,South,Tablet,Arjun,30,15,299,7624.5
2024-06-10,West,Headphones,Priya,24,5,149,3397.2
2024-06-10,South,Laptop,Vikram,41,15,999,34815.15
2024-06-10,West,Laptop,Vikram,50,15,999,42457.5
2024-06-14,North,Phone,Sneha,50,20,499,19960.0
2024-06-15,East,Tablet,Arjun,38,15,299,9657.699999999999
2024-06-17,East,Tablet,Priya,35,10,299,9418.5
2024-06-18,East,Smartwatch,Sneha,49,15,199,8288.35
2024-06-18,South,Laptop,Raju,27,10,999,24275.7
2024-06-19,West,Headphones,Arjun,43,15,149,5445.95
2024-06-19,South,Laptop,Vikram,27,20,999,21578.4
2024-06-21,West,Laptop,Arjun,33,20,999,26373.600000000002
2024-06-22,West,Smartwatch,Priya,9,0,199,1791.0
2024-06-22,South,Headphones,Raju,12,0,149,1788.0
2024-06-23,North,Headphones,Arjun,36,10,149,4827.6
2024-06-23,East,Headphones,Sneha,34,5,149,4812.7
2024-06-24,West,Headphones,Priya,34,10,149,4559.400000000001
2024-06-25,West,Tablet,Sneha,44,10,299,11840.4
2024-06-27,West,Headphones,Raju,36,10,149,4827.6
2024-06-28,West,Tablet,Priya,49,15,299,12453.35
2024-06-28,West,Smartwatch,Arjun,30,20,199,4776.0
2024-06-30,North,Laptop,Arjun,21,0,999,20979.0
2024-06-30,East,Smartwatch,Sneha,42,20,199,6686.400000000001
2024-06-30,West,Tablet,Raju,42,10,299,11302.2
2024-07-02,East,Tablet,Sneha,19,20,299,4544.8
2024-07-02,South,Headphones,Arjun,40,0,149,5960.0
2024-07-04,South,Tablet,Arjun,39,5,299,11077.949999999999
2024-07-04,West,Tablet,Sneha,3,5,299,852.15
2024-07-04,North,Laptop,Vikram,45,0,999,44955.0
2024-07-05,West,Smartwatch,Arjun,31,5,199,5860.549999999999
2024-07-05,West,Tablet,Vikram,9,0,299,2691.0
2024-07-08,South,Tablet,Arjun,3,20,299,717.6
2024-07-08,South,Laptop,Sneha,35,5,999,33216.75
2024-07-08,South,Laptop,Raju,40,10,999,35964.0
2024-07-10,North,Laptop,Priya,16,20,999,12787.2
2024-07-10,West,Headphones,Raju,31,0,149,4619.0
2024-07-12,East,Phone,Arjun,22,10,499,9880.2
2024-07-13,West,Smartwatch,Priya,36,20,199,5731.200000000001
2024-07-13,North,Tablet,Raju,30,5,299,8521.5
2024-07-13,North,Smartwatch,Priya,30,10,199,5373.0
2024-07-13,South,Tablet,Sneha,31,5,299,8805.55
2024-07-14,North,Headphones,Arjun,26,5,149,3680.2999999999997
2024-07-14,West,Smartwatch,Raju,40,15,199,6766.0
2024-07-16,North,Phone,Sneha,50,5,499,23702.5
2024-07-18,West,Tablet,Sneha,17,0,299,5083.0
2024-07-21,West,Smartwatch,Vikram,47,10,199,8417.7
2024-07-21,North,Smartwatch,Priya,50,15,199,8457.5
2024-07-23,South,Smartwatch,Arjun,16,20,199,2547.2000000000003
2024-07-23,East,Tablet,Sneha,42,5,299,11930.099999999999
2024-07-23,North,Headphones,Sneha,18,5,149,2547.9
2024-07-23,East,Laptop,Sneha,28,0,999,27972.0
2024-07-24,South,Phone,Sneha,2,5,499,948.0999999999999
2024-07-24,North,Headphones,Vikram,22,5,149,3114.1
2024-07-25,North,Headphones,Arjun,22,20,149,2622.4
2024-07-25,South,Tablet,Sneha,3,5,299,852.15
2024-07-27,East,Phone,Sneha,42,15,499,17814.3
2024-07-27,East,Headphones,Arjun,42,10,149,5632.2
2024-07-27,West,Tablet,Raju,30,0,299,8970.0
2024-07-29,North,Smartwatch,Arjun,35,0,199,6965.0
2024-07-29,East,Laptop,Arjun,50,15,999,42457.5
2024-07-30,South,Headphones,Vikram,25,15,149,3166.25
2024-08-02,West,Headphones,Arjun,26,20,149,3099.2000000000003
2024-08-02,West,Headphones,Raju,45,5,149,6369.75
2024-08-04,West,Laptop,Sneha,24,15,999,20379.6
2024-08-04,North,Headphones,Priya,39,5,149,5520.45
2024-08-04,West,Tablet,Vikram,3,15,299,762.4499999999999
2024-08-04,North,Headphones,Vikram,14,5,149,1981.6999999999998
2024-08-04,West,Headphones,Arjun,4,0,149,596.0
2024-08-04,South,Phone,Priya,48,10,499,21556.8
2024-08-04,West,Headphones,Sneha,4,10,149,536.4
2024-08-04,South,Tablet,Raju,19,10,299,5112.900000000001
2024-08-06,West,Laptop,Vikram,47,20,999,37562.4
2024-08-07,West,Laptop,Raju,10,15,999,8491.5
2024-08-08,South,Laptop,Vikram,5,0,999,4995.0
2024-08-08,East,Smartwatch,Sneha,19,15,199,3213.85
2024-08-10,North,Tablet,Raju,12,20,299,2870.4
2024-08-12,North,Smartwatch,Sneha,49,5,199,9263.449999999999
2024-08-12,East,Smartwatch,Arjun,14,0,199,2786.0
2024-08-14,North,Tablet,Vikram,30,20,299,7176.0
2024-08-14,East,Laptop,Sneha,7,15,999,5944.05
2024-08-17,South,Tablet,Arjun,12,10,299,3229.2000000000003
2024-08-17,South,Phone,Raju,3,10,499,1347.3
2024-08-19,South,Laptop,Arjun,35,15,999,29720.25
2024-08-20,North,Headphones,Raju,35,0,149,5215.0
2024-08-20,South,Phone,Raju,39,5,499,18487.95
2024-08-20,North,Smartwatch,Priya,12,10,199,2149.2000000000003
2024-08-22,West,Headphones,Raju,19,0,149,2831.0
2024-08-22,West,Headphones,Sneha,15,15,149,1899.75
2024-08-22,South,Headphones,Arjun,38,20,149,4529.6
2024-08-23,North,Laptop,Sneha,1,0,999,999.0
2024-08-23,East,Headphones,Arjun,7,15,149,886.55
2024-08-24,East,Laptop,Arjun,20,5,999,18981.0
2024-08-24,West,Smartwatch,Priya,20,15,199,3383.0
2024-08-27,East,Laptop,Priya,6,5,999,5694.3
2024-08-27,West,Headphones,Priya,48,10,149,6436.8
2024-08-28,East,Tablet,Sneha,9,15,299,2287.35
2024-08-30,South,Smartwatch,Arjun,42,5,199,7940.099999999999
2024-08-30,South,Tablet,Raju,31,0,299,9269.0
2024-08-31,North,Tablet,Vikram,25,5,299,7101.25
2024-09-01,South,Laptop,Sneha,7,0,999,6993.0
2024-09-03,East,Headphones,Sneha,13,5,149,1840.1499999999999
2024-09-05,West,Smartwatch,Sneha,50,0,199,9950.0
2024-09-05,East,Smartwatch,Arjun,18,5,199,3402.8999999999996
2024-09-05,West,Laptop,Raju,18,10,999,16183.800000000001
2024-09-06,South,Laptop,Vikram,44,0,999,43956.0
2024-09-07,South,Phone,Vikram,19,20,499,7584.8
2024-09-07,North,Tablet,Arjun,38,5,299,10793.9
2024-09-09,West,Headphones,Raju,13,20,149,1549.6000000000001
2024-09-12,West,Tablet,Priya,15,10,299,4036.5
2024-09-13,South,Tablet,Priya,23,15,299,5845.45
2024-09-14,East,Smartwatch,Arjun,12,20,199,1910.4
2024-09-15,West,Laptop,Vikram,46,10,999,41358.6
2024-09-15,North,Phone,Vikram,1,5,499,474.04999999999995
2024-09-16,North,Tablet,Vikram,50,5,299,14202.5
2024-09-16,South,Tablet,Priya,17,20,299,4066.4
2024-09-16,East,Laptop,Vikram,24,15,999,20379.6
2024-09-17,South,Tablet,Raju,16,0,299,4784.0
2024-09-17,West,Laptop,Sneha,8,10,999,7192.8
2024-09-17,West,Smartwatch,Priya,10,20,199,1592.0
2024-09-20,South,Headphones,Raju,46,0,149,6854.0
2024-09-21,East,Laptop,Raju,13,0,999,12987.0
2024-09-24,East,Tablet,Raju,8,10,299,2152.8
2024-09-27,North,Phone,Raju,34,5,499,16117.699999999999
2024-09-27,West,Phone,Vikram,10,10,499,4491.0
2024-09-27,South,Headphones,Raju,47,10,149,6302.7
2024-09-28,North,Tablet,Arjun,9,20,299,2152.8
2024-09-28,East,Laptop,Sneha,20,15,999,16983.0
2024-09-29,North,Tablet,Vikram,8,0,299,2392.0
2024-09-30,East,Phone,Raju,32,20,499,12774.400000000001
2024-10-01,North,Headphones,Vikram,26,15,149,3292.9
2024-10-01,East,Laptop,Arjun,21,5,999,19930.05
2024-10-01,North,Headphones,Arjun,32,15,149,4052.7999999999997
2024-10-01,South,Smartwatch,Sneha,47,20,199,7482.400000000001
2024-10-02,South,Tablet,Arjun,48,15,299,12199.199999999999
2024-10-02,North,Laptop,Vikram,40,5,999,37962.0
2024-10-03,West,Smartwatch,Raju,46,10,199,8238.6
2024-10-03,West,Laptop,Sneha,1,10,999,899.1
2024-10-03,West,Smartwatch,Vikram,36,15,199,6089.4
2024-10-03,West,Smartwatch,Raju,35,0,199,6965.0
2024-10-04,East,Phone,Sneha,28,15,499,11876.199999999999
2024-10-05,West,Laptop,Sneha,16,15,999,13586.4
2024-10-06,West,Tablet,Arjun,4,15,299,1016.6
2024-10-06,East,Phone,Sneha,49,10,499,22005.9
2024-10-06,West,Headphones,Raju,38,20,149,4529.6
2024-10-08,East,Phone,Arjun,26,20,499,10379.2
2024-10-08,North,Headphones,Priya,22,15,149,2786.2999999999997
2024-10-09,South,Laptop,Priya,44,0,999,43956.0
2024-10-09,South,Smartwatch,Vikram,24,5,199,4537.2
2024-10-09,South,Tablet,Vikram,23,10,299,6189.3
2024-10-10,West,Tablet,Vikram,46,10,299,12378.6
2024-10-10,North,Smartwatch,Vikram,48,0,199,9552.0
2024-10-10,East,Smartwatch,Vikram,13,5,199,2457.65
2024-10-10,East,Smartwatch,Raju,46,15,199,7780.9
2024-10-11,East,Headphones,Arjun,19,0,149,2831.0
2024-10-12,East,Phone,Priya,44,5,499,20858.2
2024-10-13,West,Phone,Priya,47,15,499,19935.05
2024-10-14,North,Laptop,Arjun,9,20,999,7192.8
2024-10-14,North,Phone,Vikram,2,20,499,798.4000000000001
2024-10-14,West,Tablet,Raju,47,10,299,12647.7
2024-10-15,East,Phone,Arjun,31,20,499,12375.2
2024-10-16,South,Tablet,Sneha,43,15,299,10928.449999999999
2024-10-17,North,Phone,Sneha,23,0,499,11477.0
2024-10-17,North,Tablet,Vikram,42,15,299,10674.3
2024-10-18,East,Phone,Priya,38,15,499,16117.699999999999
2024-10-19,North,Tablet,Raju,11,5,299,3124.5499999999997
2024-10-22,West,Laptop,Raju,33,10,999,29670.3
2024-10-22,East,Smartwatch,Priya,27,20,199,4298.400000000001
2024-10-23,West,Smartwatch,Arjun,26,20,199,4139.2
2024-10-23,West,Laptop,Arjun,37,5,999,35114.85
2024-10-25,West,Smartwatch,Priya,44,0,199,8756.0
2024-10-25,West,Phone,Priya,28,15,499,11876.199999999999
2024-10-25,South,Phone,Priya,4,5,499,1896.1999999999998
2024-10-26,South,Smartwatch,Arjun,43,20,199,6845.6
2024-10-26,East,Headphones,Arjun,25,10,149,3352.5
2024-10-28,East,Headphones,Arjun,40,5,149,5662.0
2024-10-28,East,Smartwatch,Priya,16,15,199,2706.4
2024-10-28,South,Phone,Arjun,26,5,499,12325.3
2024-10-29,East,Tablet,Vikram,32,0,299,9568.0
2024-10-31,North,Smartwatch,Sneha,1,10,199,179.1
2024-10-31,West,Laptop,Sneha,16,0,999,15984.0
2024-11-01,West,Laptop,Arjun,27,15,999,22927.05
2024-11-01,South,Phone,Arjun,31,20,499,12375.2
2024-11-02,South,Tablet,Raju,20,0,299,5980.0
2024-11-04,East,Phone,Vikram,7,0,499,3493.0
2024-11-05,North,Tablet,Priya,11,5,299,3124.5499999999997
2024-11-05,South,Headphones,Priya,40,15,149,5066.0
2024-11-06,North,Laptop,Vikram,19,10,999,17082.9
2024-11-07,South,Tablet,Vikram,33,0,299,9867.0
2024-11-07,South,Phone,Arjun,40,15,499,16966.0
2024-11-09,East,Tablet,Priya,39,15,299,9911.85
2024-11-12,North,Tablet,Vikram,13,5,299,3692.6499999999996
2024-11-13,East,Headphones,Raju,42,10,149,5632.2
2024-11-13,East,Smartwatch,Sneha,27,20,199,4298.400000000001
2024-11-14,East,Tablet,Raju,9,10,299,2421.9
2024-11-16,South,Tablet,Sneha,44,5,299,12498.199999999999
2024-11-17,North,Smartwatch,Sneha,10,15,199,1691.5
2024-11-17,South,Laptop,Sneha,10,5,999,9490.5
2024-11-19,East,Laptop,Raju,15,0,999,14985.0
2024-11-20,East,Laptop,Priya,44,15,999,37362.6
2024-11-20,East,Headphones,Vikram,29,15,149,3672.85
2024-11-21,South,Smartwatch,Vikram,33,10,199,5910.3
2024-11-21,West,Tablet,Priya,33,0,299,9867.0
2024-11-22,East,Phone,Vikram,37,20,499,14770.400000000001
2024-11-23,West,Smartwatch,Arjun,24,10,199,4298.400000000001
2024-11-23,South,Laptop,Priya,6,15,999,5094.9
2024-11-23,North,Headphones,Arjun,45,5,149,6369.75
2024-11-24,East,Smartwatch,Priya,23,5,199,4348.15
2024-11-24,West,Smartwatch,Priya,31,15,199,5243.65
2024-11-25,North,Laptop,Priya,4,10,999,3596.4
2024-11-26,South,Headphones,Vikram,35,0,149,5215.0
2024-11-26,West,Tablet,Vikram,8,5,299,2272.4
2024-11-27,West,Phone,Priya,38,20,499,15169.6
